step,loss,forget_loss,reg_loss
1,17.1370,13.8883,2.1659
2,18.2587,13.8882,2.9137
3,17.4785,13.8849,2.3957
4,16.3996,13.7495,1.7667
5,16.0067,13.8183,1.4590
6,17.2808,13.8352,2.2970
7,16.8395,13.7625,2.0513
8,16.7776,13.7619,2.0104
9,17.7600,13.6307,2.7529
10,18.2755,13.7518,3.0158
11,16.8306,13.4431,2.2583
12,18.5472,13.6617,3.2570
13,16.4927,13.7053,1.8583
14,17.9156,13.5497,2.9106
15,16.6170,13.4787,2.0922
16,18.5438,13.6241,3.2798
17,16.5107,13.4950,2.0105
18,15.1547,13.4072,1.1650
19,15.3497,13.4753,1.2496
20,18.5623,13.4193,3.4286
21,17.4595,13.1964,2.8421
22,16.6822,13.4815,2.1338
23,18.0367,13.2835,3.1688
24,17.5190,13.2816,2.8249
25,16.1676,13.3056,1.9080
26,16.0556,13.3928,1.7752
27,18.1180,13.2005,3.2784
28,17.9993,13.2084,3.1939
29,16.6829,13.0898,2.3953
30,17.1470,13.0318,2.7434
31,16.0486,13.0869,1.9745
32,16.8688,12.7699,2.7326
33,15.6102,12.8472,1.8420
34,15.4327,12.7085,1.8161
35,16.7150,13.1764,2.3591
36,16.3790,12.4663,2.6085
37,18.0385,12.6356,3.6019
38,15.6397,12.7630,1.9178
39,15.5810,12.8223,1.8392
40,16.2886,12.7888,2.3332
41,15.5228,12.5572,1.9770
42,18.5442,12.6029,3.9608
43,16.3163,12.5160,2.5335
44,16.1016,12.5768,2.3498
45,14.4379,12.4756,1.3082
46,15.6894,12.6180,2.0476
47,15.4779,12.0809,2.2646
48,16.0316,12.4907,2.3606
49,14.8268,11.8963,1.9536
50,16.3979,11.8092,3.0591
51,14.7880,12.4642,1.5492
52,15.4912,12.2410,2.1668
53,16.8048,12.5634,2.8276
54,14.9119,11.9821,1.9532
55,15.3596,12.3029,2.0378
56,15.5453,11.8837,2.4411
57,13.1768,11.4913,1.1237
58,14.8916,11.7214,2.1134
59,14.9333,11.8767,2.0377
60,16.6541,11.6356,3.3456
61,15.5791,11.8040,2.5167
62,15.7254,11.6038,2.7477
63,14.1130,11.4119,1.8008
64,14.9363,11.2106,2.4838
65,14.1361,10.9167,2.1462
66,14.4591,11.1211,2.2254
67,15.4357,11.5195,2.6108
68,15.6243,10.7509,3.2490
69,13.5882,10.8820,1.8041
70,13.0526,10.4856,1.7113
71,13.9928,11.2887,1.8027
72,14.1811,11.2900,1.9274
73,12.9160,10.8846,1.3543
74,13.8303,10.9238,1.9377
75,14.0954,11.2560,1.8929
76,12.7086,11.0590,1.0997
77,14.7947,10.7127,2.7213
78,15.0022,10.2563,3.1640
79,13.5959,9.4927,2.7355
80,15.3302,10.3779,3.3015
81,13.4906,9.9842,2.3376
82,14.6392,10.2228,2.9443
83,15.2861,9.6233,3.7752
84,12.7827,9.4350,2.2318
85,11.9676,10.1775,1.1934
86,14.8066,11.1249,2.4545
87,10.7436,9.2160,1.0184
88,13.8959,10.1939,2.4681
89,13.7094,9.7897,2.6132
90,12.5647,9.7048,1.9066
91,13.4604,9.0461,2.9429
92,14.1678,9.5125,3.1036
93,13.0054,10.3361,1.7795
94,14.0783,9.4296,3.0991
95,13.1168,9.7310,2.2572
96,9.9371,8.2316,1.1370
97,13.5465,9.8811,2.4436
98,14.0950,8.8067,3.5255
99,12.3378,9.2085,2.0862
100,11.2937,8.4498,1.8959
101,12.0321,8.8831,2.0993
102,12.4882,9.2963,2.1279
103,12.1903,8.8181,2.2481
104,10.2993,7.9482,1.5674
105,11.8120,8.2444,2.3784
